# Pick&Place Position Data File
#
# Project Name:        ESPmote
# Project Version:     v1
# Board Name:          ESPmote_WROOM32
# Generation Software: LibrePCB 2.0.1
# Generation Date:     2026-06-07T20:54:13
# Unit:                mm
# Rotation:            Degrees CCW
# Board Side:          Top
# Assembly Types:      SMT, THT+SMT, Fiducial, Other

Designator,Value,Device,Package,Position X,Position Y,Rotation,Side,Type
BOOT_SW,TLS3315,TLS3315,TLS3315,25.25,85.0,0.0,Top,SMT
C1,10μF,Capacitor 1608 (0603),CAPC1608 (0603),4.25,49.5,90.0,Top,SMT
C2,1μF,Capacitor 1608 (0603),CAPC1608 (0603),1.0,85.0,270.0,Top,SMT
C3,0.1μF,Capacitor 1608 (0603),CAPC1608 (0603),3.0,49.5,90.0,Top,SMT
C6,0.1μF,Capacitor 1608 (0603),CAPC1608 (0603),8.0,85.0,270.0,Top,SMT
C7,0.1μF,Capacitor 1608 (0603),CAPC1608 (0603),29.0,86.0,270.0,Top,SMT
C8,0.1μF,Capacitor 1608 (0603),CAPC1608 (0603),12.5,85.75,270.0,Top,SMT
C9,0.1μF,Capacitor 1608 (0603),CAPC1608 (0603),13.25,83.25,180.0,Top,SMT
C10,1μF,Capacitor 1608 (0603),CAPC1608 (0603),25.25,38.75,180.0,Top,SMT
C11,10μF,Capacitor 1608 (0603),CAPC1608 (0603),25.25,40.0,180.0,Top,SMT
C12,100pF,Capacitor 1608 (0603),CAPC1608 (0603),25.0,48.25,90.0,Top,SMT
C13,100pF,Capacitor 1608 (0603),CAPC1608 (0603),26.75,48.0,60.0,Top,SMT
C14,0.1μF,Capacitor 1608 (0603),CAPC1608 (0603),24.5,32.25,0.0,Top,SMT
C15,0.1μF,Capacitor 1608 (0603),CAPC1608 (0603),24.25,31.0,180.0,Top,SMT
C16,10μF,Capacitor 1608 (0603),CAPC1608 (0603),3.25,38.75,90.0,Top,SMT
C17,22μF,Capacitor 1608 (0603),CAPC1608 (0603),6.5,29.0,270.0,Top,SMT
C18,0.1μF,Capacitor 1608 (0603),CAPC1608 (0603),28.25,105.25,0.0,Top,SMT
D1,1N4148W,1N4148W,SOD3717X135,25.0,133.0,45.0,Top,SMT
D2,1N4148W,1N4148W,SOD3717X135,5.25,107.0,90.0,Top,SMT
D3,1N4148W,1N4148W,SOD3717X135,3.25,106.5,90.0,Top,SMT
D4,1N4148W,1N4148W,SOD3717X135,26.5,131.5,225.0,Top,SMT
D5,1N4148W,1N4148W,SOD3717X135,21.25,17.75,180.0,Top,SMT
D6,1N4148W,1N4148W,SOD3717X135,20.25,28.25,135.0,Top,SMT
D7,1N4148W,1N4148W,SOD3717X135,18.7,84.75,270.0,Top,SMT
D8,1N4148W,1N4148W,SOD3717X135,3.5,15.5,135.0,Top,SMT
D9,1N4148W,1N4148W,SOD3717X135,21.3,84.75,270.0,Top,SMT
D10,1N4148W,1N4148W,SOD3717X135,9.75,84.75,270.0,Top,SMT
D11,1N4148W,1N4148W,SOD3717X135,27.25,108.75,180.0,Top,SMT
D12,1N4148W,1N4148W,SOD3717X135,1.25,107.5,90.0,Top,SMT
D13,1N4148W,1N4148W,SOD3717X135,27.5,106.75,0.0,Top,SMT
EN_SW,TLS3315,TLS3315,TLS3315,4.5,85.0,0.0,Top,SMT
HOME,TLS3315,TLS3315,TLS3315,15.0,75.0,0.0,Top,SMT
J3,Wiimote Expansion,Wiimote Expansion,Wiimote Expansion Port,15.0,2.5,180.0,Top,THT+SMT
L1,470nH,Inductor 1608 (0603),INDC1608 (0603),9.0,27.75,90.0,Top,SMT
LED1,BLUE,LTST-C191KGKT,OSRAM_CHIPLED0603_DIFFUSED,6.75,13.5,90.0,Top,SMT
LED2,RED,LTST-C191KGKT,OSRAM_CHIPLED0603_DIFFUSED,12.25,13.5,90.0,Top,SMT
LED3,GREEN,LTST-C191KGKT,OSRAM_CHIPLED0603_DIFFUSED,17.75,13.5,90.0,Top,SMT
LED4,YELLOW,LTST-C191KGKT,OSRAM_CHIPLED0603_DIFFUSED,23.25,13.5,90.0,Top,SMT
MINUS,TLS3315,TLS3315,TLS3315,5.0,75.0,0.0,Top,SMT
PLUS,TLS3315,TLS3315,TLS3315,25.0,75.0,0.0,Top,SMT
